model,model_id,file,format,target_col,target_seconds,split_strategy,threshold_strategy,threshold,train_rows,val_rows,test_rows,val_roc_auc,val_pr_auc,val_logloss,test_logloss,test_roc_auc,test_pr_auc,test_brier,test_accuracy,test_precision,test_recall,test_f1
catboost_dota_model_1s,artifacts/boosting/catboost_dota_model_1s.cbm,artifacts/boosting/catboost_dota_model_1s.cbm,cbm,dead_in_1,1,manual_group_shuffle,grid_f1,0.245,440147,184038,90343,0.8098278415727852,0.43919177304004586,0.3629364840381167,0.36522941422172717,0.8067166620703169,0.4400098380278241,0.11525690863250074,0.7726221179283398,0.3942389498845359,0.6351413093140135,0.4865013498650135
dota_logreg_pipeline_1s,artifacts/logreg/dota_logreg_pipeline_1s.joblib,artifacts/logreg/dota_logreg_pipeline_1s.joblib,joblib,dead_in_1,1,group_shuffle_split,prcurve_f1,0.5203014429871553,527982,93944,92602,0.6694363985420512,0.2669017893022839,0.6494284087413972,0.649151830202855,0.6689714686400661,0.2641746852310839,0.2320793745953207,0.612006220168031,0.2501363343413812,0.6399264379478724,0.3596799201582577
catboost_dota_model_5s,artifacts/boosting/catboost_dota_model_5s.cbm,artifacts/boosting/catboost_dota_model_5s.cbm,cbm,dead_in_5,5,manual_group_shuffle,grid_f1,0.33499999999999996,440147,184038,90343,0.8221868583683398,0.6901363164891902,0.4815009452267385,0.48411432801364157,0.82000734559344,0.6884134191701314,0.16016087850963165,0.7409428511340115,0.5916634993031801,0.7621005907503509,0.6661531439004907
dota_logreg_pipeline_5s,artifacts/logreg/dota_logreg_pipeline_5s.joblib,artifacts/logreg/dota_logreg_pipeline_5s.joblib,joblib,dead_in_5,5,group_shuffle_split,prcurve_f1,0.4595121044754237,527982,93944,92602,0.6789260027803492,0.4858980960672214,0.6430216360486213,0.6422835086993187,0.6782163583529159,0.48033124657008336,0.22776122486375974,0.5618345176130105,0.42546102332332664,0.8178964391032755,0.5597474040558575
catboost_dota_model_10s,artifacts/boosting/catboost_dota_model_10s.cbm,artifacts/boosting/catboost_dota_model_10s.cbm,cbm,dead_in_10,10,manual_group_shuffle,grid_f1,0.37499999999999994,440147,184038,90343,0.8063807004918822,0.8012661854075815,0.5324065160705549,0.5340411414599516,0.80469799377756,0.8004915042764118,0.1800100469088185,0.716834729862856,0.6809831225879884,0.8335909437248286,0.7495986844681101
dota_logreg_pipeline_10s,artifacts/logreg/dota_logreg_pipeline_10s.joblib,artifacts/logreg/dota_logreg_pipeline_10s.joblib,joblib,dead_in_10,10,group_shuffle_split,prcurve_f1,0.41173769808365424,527982,93944,92602,0.67974288096863,0.6569288139127378,0.637177943789944,0.6382507336685928,0.6763723842699588,0.6487495780269235,0.22503681694933303,0.6026003758018186,0.5695317681390105,0.9080661534557144,0.7000179337104847
catboost_dota_model_15s,artifacts/boosting/catboost_dota_model_15s.cbm,artifacts/boosting/catboost_dota_model_15s.cbm,cbm,dead_in_15,15,manual_group_shuffle,grid_f1,0.4099999999999999,440147,184038,90343,0.7955787658608644,0.8812025605218318,0.4902199809338057,0.4904365870417293,0.7944396439637391,0.8810439934001764,0.16334870379389557,0.7445070453715285,0.7403730938536635,0.9591810056048499,0.8356919134396356
dota_logreg_pipeline_15s,artifacts/logreg/dota_logreg_pipeline_15s.joblib,artifacts/logreg/dota_logreg_pipeline_15s.joblib,joblib,dead_in_15,15,group_shuffle_split,prcurve_f1,0.014845743493055698,527982,93944,92602,0.6848114766754523,0.7990747278366616,0.6226168702883587,0.6238889255051764,0.6811770366631564,0.7927590375380151,0.21799168979784475,0.7161184423662555,0.7057175202035486,0.9994761489007064,0.8272935116810763
catboost_dota_model_20s,artifacts/boosting/catboost_dota_model_20s.cbm,artifacts/boosting/catboost_dota_model_20s.cbm,cbm,dead_in_20,20,manual_group_shuffle,grid_f1,0.4749999999999999,440147,184038,90343,0.8411716181597798,0.9605352199015429,0.2967332419596589,0.2944045524873016,0.8405753475787714,0.9608356886328772,0.08729731308417613,0.8880710182305215,0.886395675323011,0.9952775270462959,0.9376864108062807
dota_logreg_pipeline_20s,artifacts/logreg/dota_logreg_pipeline_20s.joblib,artifacts/logreg/dota_logreg_pipeline_20s.joblib,joblib,dead_in_20,20,group_shuffle_split,prcurve_f1,0.012666390392418028,527982,93944,92602,0.741348386984281,0.9294347153068223,0.5488550145015655,0.5489388988393464,0.7416104793465848,0.9269990795162127,0.18363967685427127,0.8857584069458543,0.8815081996594677,0.9999872927123705,0.9370173903207177
